run_id	category	slug	status	output
2026-07-20T000000Z	ecology	animal_pathogen	ok	research/traits/ecology/animal_pathogen-deep-research-falcon.md
2026-07-20T000000Z	ecology	biofilm_formation	fail:1	
2026-07-20T000000Z	ecology	biosafety_level	fail:1	
2026-07-20T000000Z	ecology	biosafety_level_1	fail:1	
2026-07-20T000000Z	ecology	biosafety_level_2	fail:1	
2026-07-20T000000Z	ecology	biosafety_level_3	fail:1	
2026-07-20T000000Z	ecology	biosafety_level_4	fail:1	
2026-07-20T000000Z	ecology	biosafety_level_5	fail:1	
2026-07-20T000000Z	ecology	biofilm_formation	ok	research/traits/ecology/biofilm_formation-deep-research-falcon.md
2026-07-20T000000Z	ecology	biosafety_level	ok	research/traits/ecology/biosafety_level-deep-research-falcon.md
2026-07-20T000000Z	ecology	biosafety_level_2	ok	research/traits/ecology/biosafety_level_2-deep-research-falcon.md
2026-07-20T000000Z	ecology	biosafety_level_1	ok	research/traits/ecology/biosafety_level_1-deep-research-falcon.md
2026-07-20T000000Z	ecology	biosafety_level_5	ok	research/traits/ecology/biosafety_level_5-deep-research-falcon.md
2026-07-20T000000Z	ecology	biosafety_level_4	ok	research/traits/ecology/biosafety_level_4-deep-research-falcon.md
2026-07-20T000000Z	ecology	commensalism	ok	research/traits/ecology/commensalism-deep-research-falcon.md
2026-07-20T000000Z	ecology	biosafety_level_3	ok	research/traits/ecology/biosafety_level_3-deep-research-falcon.md
2026-07-20T000000Z	ecology	free_living	ok	research/traits/ecology/free_living-deep-research-falcon.md
2026-07-20T000000Z	ecology	endosymbiosis	ok	research/traits/ecology/endosymbiosis-deep-research-falcon.md
2026-07-20T000000Z	ecology	host_associated	ok	research/traits/ecology/host_associated-deep-research-falcon.md
2026-07-20T000000Z	ecology	gut_associated	ok	research/traits/ecology/gut_associated-deep-research-falcon.md
2026-07-20T000000Z	ecology	parasitism	ok	research/traits/ecology/parasitism-deep-research-falcon.md
2026-07-20T000000Z	ecology	human_pathogen	ok	research/traits/ecology/human_pathogen-deep-research-falcon.md
2026-07-20T000000Z	ecology	mutualism	ok	research/traits/ecology/mutualism-deep-research-falcon.md
2026-07-20T000000Z	ecology	habitat_association	ok	research/traits/ecology/habitat_association-deep-research-falcon.md
2026-07-20T000000Z	ecology	nitrogen_fixing_symbiosis	ok	research/traits/ecology/nitrogen_fixing_symbiosis-deep-research-falcon.md
2026-07-20T000000Z	ecology	opportunistic_pathogen	ok	research/traits/ecology/opportunistic_pathogen-deep-research-falcon.md
