category	slug	verdict	priority	graph_edges	missing_modules
ecology	animal_pathogen	shallow	medium	4	4
ecology	biofilm_formation	skeletal	high	2	6
ecology	biosafety_level	shallow	medium	7	5
ecology	biosafety_level_1	skeletal	high	2	3
ecology	biosafety_level_2	skeletal	high	2	4
ecology	biosafety_level_3	skeletal	high	2	6
ecology	biosafety_level_4	shallow	high	2	7
ecology	biosafety_level_5	skeletal	high	2	3
ecology	commensalism	skeletal	high	2	5
ecology	endosymbiosis	shallow	high	2	6
ecology	free_living	shallow	high	2	4
ecology	gut_associated	shallow	high	2	4
ecology	habitat_association	skeletal	high	2	5
ecology	host_associated	skeletal	high	2	8
ecology	human_pathogen	shallow	high	4	5
ecology	mutualism	shallow	medium	2	5
ecology	nitrogen_fixing_symbiosis	skeletal	high	2	11
ecology	opportunistic_pathogen	shallow	high	2	6
ecology	parasitism	skeletal	high	2	5
ecology	pathogenic_to_host	shallow	high	4	5
ecology	plant_pathogen	shallow	medium	6	3
ecology	predatory_bacterium	skeletal	high	2	6
ecology	rhizosphere_association	shallow	high	2	3
ecology	saprotrophy	skeletal	high	2	6
ecology	soil_dwelling	skeletal	high	2	5
ecology	symbiosis	skeletal	high	2	7
environment	acidophilic	shallow	medium	5	5
environment	acidotolerant	skeletal	high	4	6
environment	aerobic	shallow	high	4	6
environment	aerotolerant	shallow	high	4	4
environment	alkalotolerant	shallow	medium	5	4
environment	alkaphilic	shallow	high	5	5
environment	anaerobic	shallow	medium	4	2
environment	arsenic_tolerant	shallow	high	3	7
environment	cadmium_tolerant	shallow	high	3	4
environment	cobalt_tolerant	shallow	medium	3	3
environment	copper_tolerant	shallow	high	3	5
environment	delta_phenotype_with_numerical_limits	shallow	high	4	6
environment	desiccation_tolerant	shallow	high	3	5
environment	euryhaline	shallow	medium	6	5
environment	extreme_hyperthermophilic	shallow	high	4	2
environment	extremely_halophilic	shallow	medium	5	3
environment	facultative_oxygen_preference	shallow	medium	4	4
environment	facultative_psychrophilic	shallow	high	5	5
environment	facultatively_acidophilic	shallow	high	6	4
environment	facultatively_aerobic	skeletal	high	4	4
environment	facultatively_alkaphilic	shallow	high	6	7
environment	facultatively_anaerobic	shallow	medium	4	5
environment	growth_range_phenotype_with_numerical_limits	skeletal	high	4	6
environment	haloalkaliphilic	shallow	high	6	5
environment	halophilic	adequate	medium	5	4
environment	halophily_preference	shallow	medium	6	5
environment	halotolerant	shallow	medium	6	4
environment	hyperthermophilic	adequate	medium	5	3
environment	ionizing_radiation_tolerant	shallow	medium	3	3
environment	mercury_tolerant	shallow	medium	3	4
environment	mesophilic	shallow	high	4	4
environment	metal_tolerant	shallow	high	3	3
environment	microaerophilic	shallow	medium	4	3
environment	microaerotolerant	skeletal	high	5	5
environment	moderately_halophilic	shallow	high	5	6
environment	nacl_delta	shallow	high	3	4
environment	nacl_delta_high	shallow	high	2	5
environment	nacl_delta_low	shallow	high	2	4
environment	nacl_delta_mid1	shallow	high	2	4
environment	nacl_delta_mid2	skeletal	high	2	5
environment	nacl_optimum	shallow	medium	5	3
environment	nacl_optimum_high	shallow	high	3	5
environment	nacl_optimum_low	skeletal	high	3	6
environment	nacl_optimum_mid1	shallow	medium	3	4
environment	nacl_optimum_mid2	shallow	medium	3	3
environment	nacl_range	skeletal	high	4	5
environment	nacl_range_high	skeletal	high	2	4
environment	nacl_range_low	skeletal	high	2	6
environment	nacl_range_mid1	skeletal	high	2	5
environment	nacl_range_mid2	skeletal	high	2	6
environment	neutrophilic	shallow	high	4	4
environment	non_halophilic	adequate	medium	6	2
environment	obligately_acidophilic	adequate	medium	6	5
environment	obligately_aerobic	shallow	medium	4	4
environment	obligately_alkaphilic	shallow	medium	6	3
environment	obligately_anaerobic	shallow	medium	4	5
environment	obligately_piezophilic	skeletal	high	2	5
environment	optimum_phenotype_with_numerical_limits	skeletal	high	4	4
environment	oxygen_preference	skeletal	high	5	5
environment	ph_delta	skeletal	high	2	5
environment	ph_delta_high	shallow	high	2	9
environment	ph_delta_low	shallow	high	2	4
environment	ph_delta_mid1	shallow	high	2	6
environment	ph_delta_mid2	shallow	high	2	5
environment	ph_delta_mid3	skeletal	high	2	6
environment	ph_delta_very_low	skeletal	high	2	3
environment	ph_growth_preference	shallow	medium	5	5
