proposed_id	label	definition	definition_source	parent	synonyms	xrefs	subset	priority	observations	traits_addressed
ID	LABEL	A IAO:0000115	>A IAO:0000119	SC %	A oboInOwl:hasExactSynonym SPLIT=|	A oboInOwl:hasDbXref SPLIT=|	A oboInOwl:inSubset			
METPO:1008800	nitrogen respiration	An anaerobic respiration in which a microorganism conserves energy by transferring electrons to an oxidised nitrogen compound as the terminal electron acceptor.	DOI:10.1126/science.aaf4507	METPO:1000802	nitrogen_respiration		metpo_traitmech_2026_14	HIGH	453 occurrences in microbedecoder unmapped labels	TraitMech#453
METPO:1008801	nitrate respiration	A nitrogen respiration in which nitrate is the terminal electron acceptor, reduced to nitrite or further reduced products.	DOI:10.1126/science.aaf4507	METPO:1008800	nitrate_respiration		metpo_traitmech_2026_14	HIGH	441 occurrences in microbedecoder unmapped labels	TraitMech#453
METPO:1008802	nitrite respiration	A nitrogen respiration in which nitrite is the terminal electron acceptor.	DOI:10.1126/science.aaf4507	METPO:1008800	nitrite_respiration		metpo_traitmech_2026_14	MEDIUM	140 occurrences in microbedecoder unmapped labels	TraitMech#453
METPO:1008803	respiration of sulfur compounds	An anaerobic respiration in which a microorganism conserves energy by transferring electrons to an inorganic sulfur compound as the terminal electron acceptor.	DOI:10.1126/science.aaf4507	METPO:1000802	respiration_of_sulfur_compounds		metpo_traitmech_2026_14	HIGH	502 occurrences in microbedecoder unmapped labels	TraitMech#453
METPO:1008804	sulfur respiration	A respiration of sulfur compounds in which elemental sulfur is the terminal electron acceptor, reduced to sulfide.	DOI:10.1126/science.aaf4507	METPO:1008803	sulfur_respiration		metpo_traitmech_2026_14	MEDIUM	177 occurrences in microbedecoder unmapped labels	TraitMech#453
METPO:1008805	thiosulfate respiration	A respiration of sulfur compounds in which thiosulfate is the terminal electron acceptor.	DOI:10.1126/science.aaf4507	METPO:1008803	thiosulfate_respiration		metpo_traitmech_2026_14	MEDIUM	104 occurrences in microbedecoder unmapped labels	TraitMech#453
METPO:1008806	hydrogenotrophic methanogenesis	A methanogenesis in which carbon dioxide is reduced to methane using molecular hydrogen as the electron donor.	DOI:10.1126/science.aaf4507	METPO:1000844	hydrogenotrophic_methanogenesis|methanogenesis_by_CO2_reduction_with_H2	GO:0019386	metpo_traitmech_2026_14	MEDIUM	284 occurrences in microbedecoder unmapped labels	TraitMech#453
METPO:1008807	hydrocarbon degradation	A metabolism in which a microorganism catabolises a hydrocarbon, using it as a carbon and energy source.	DOI:10.1126/science.aaf4507	METPO:1000060	hydrocarbon_degradation	GO:0120253	metpo_traitmech_2026_14	HIGH	406 occurrences in microbedecoder unmapped labels	TraitMech#453
METPO:1008808	aromatic hydrocarbon degradation	A hydrocarbon degradation in which the substrate carries at least one aromatic ring.	DOI:10.1126/science.aaf4507	METPO:1008807	aromatic_hydrocarbon_degradation		metpo_traitmech_2026_14	MEDIUM	102 occurrences in microbedecoder unmapped labels	TraitMech#453
METPO:1008809	aromatic compound degradation	A metabolism in which a microorganism catabolises an aromatic compound, whether or not that compound is a hydrocarbon.	DOI:10.1126/science.aaf4507	METPO:1000060	aromatic_compound_degradation		metpo_traitmech_2026_14	HIGH	516 occurrences in microbedecoder unmapped labels	TraitMech#453
METPO:1008810	xylanolysis	A metabolism in which a microorganism hydrolyses xylan, the principal hemicellulose of plant cell walls, to xylose and xylo-oligosaccharides.	DOI:10.1126/science.aaf4507	METPO:1000060	xylanolysis	GO:0045493	metpo_traitmech_2026_14	MEDIUM	200 occurrences in microbedecoder unmapped labels	TraitMech#453
METPO:1008811	dark hydrogen oxidation	A metabolism in which a microorganism oxidises molecular hydrogen as an electron donor for energy conservation, independently of light.	DOI:10.1126/science.aaf4507	METPO:1000060	dark_hydrogen_oxidation		metpo_traitmech_2026_14	MEDIUM	288 occurrences in microbedecoder unmapped labels	TraitMech#453
METPO:1008812	dark oxidation of sulfur compounds	A metabolism in which a microorganism oxidises a reduced inorganic sulfur compound as an electron donor for energy conservation, independently of light.	DOI:10.1126/science.aaf4507	METPO:1000060	dark_oxidation_of_sulfur_compounds	GO:0019417	metpo_traitmech_2026_14	MEDIUM	136 occurrences in microbedecoder unmapped labels	TraitMech#453
METPO:1008813	methanol oxidation	A metabolism in which a microorganism oxidises methanol, typically to formaldehyde, as a carbon and energy source.	DOI:10.1126/science.aaf4507	METPO:1000060	methanol_oxidation	GO:0015946	metpo_traitmech_2026_14	MEDIUM	125 occurrences in microbedecoder unmapped labels	TraitMech#453
METPO:1008814	nitrate reduction	A metabolism in which a microorganism reduces nitrate, whether for energy conservation or for assimilation into biomass.	DOI:10.1126/science.aaf4507	METPO:1000060	nitrate_reduction		metpo_traitmech_2026_14	HIGH	1450 occurrences in microbedecoder unmapped labels	TraitMech#453
