proposed_id	label	definition	definition_source	parent	synonyms	xrefs	subset	priority	observations	traits_addressed
ID	LABEL	A IAO:0000115	>A IAO:0000119	SC %	A oboInOwl:hasExactSynonym SPLIT=|	A oboInOwl:hasDbXref SPLIT=|	A oboInOwl:inSubset			
METPO:1007600	piezophilic	An environmental growth preference in which an organism grows optimally at hydrostatic pressures substantially above atmospheric pressure (0.1 MPa), characteristic of deep-sea and deep-subsurface microorganisms.	TraitMech:data/traits/environment/piezophilic.yaml	METPO:1000059	piezophile		metpo_traitmech_2026_06			traitmech:000001
METPO:1007601	obligately piezophilic	A pressure growth preference in which an organism requires elevated hydrostatic pressure for growth and is unable to grow at atmospheric pressure (0.1 MPa).	TraitMech:data/traits/environment/obligately_piezophilic.yaml	METPO:1007600	obligate piezophile		metpo_traitmech_2026_06			traitmech:000002
METPO:1007602	piezotolerant	A pressure growth preference in which an organism can grow under elevated hydrostatic pressure but grows at similar or faster rates at atmospheric pressure (0.1 MPa).	TraitMech:data/traits/environment/piezotolerant.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000003
METPO:1007603	pressure optimum	A pressure phenotype with numerical limits giving the hydrostatic pressure at which an organism grows fastest.	TraitMech:data/traits/environment/pressure_optimum.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000004
METPO:1007604	pressure range	A pressure phenotype with numerical limits that bounds the minimum and maximum hydrostatic pressures supporting growth of an organism.	TraitMech:data/traits/environment/pressure_range.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000005
METPO:1007605	pressure delta	A pressure phenotype with numerical limits expressing the breadth (maximum minus minimum) of hydrostatic pressure supporting growth of an organism.	TraitMech:data/traits/environment/pressure_delta.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000006
METPO:1007606	radiotolerant	An environmental tolerance in which an organism survives doses of ionizing and/or ultraviolet radiation that are lethal to most microorganisms, typically via efficient DNA repair and oxidative-damage protection.	TraitMech:data/traits/environment/radiotolerant.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000007
METPO:1007607	ionizing radiation tolerant	An environmental tolerance in which an organism survives high doses of ionizing radiation (e.g. gamma rays), typically via efficient repair of DNA double-strand breaks and protection of the proteome from oxidative damage.	TraitMech:data/traits/environment/ionizing_radiation_tolerant.yaml	METPO:1007606			metpo_traitmech_2026_06			traitmech:000008
METPO:1007608	UV radiation tolerant	An environmental tolerance in which an organism survives high doses of ultraviolet radiation, typically via photoreactivation and nucleotide-excision repair of cyclobutane pyrimidine dimers and 6-4 photoproducts.	TraitMech:data/traits/environment/uv_radiation_tolerant.yaml	METPO:1007606			metpo_traitmech_2026_06			traitmech:000009
