file	locator	defect	severity	detail
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation:*	REUSED_SNIPPET	WARN	3 evidence items share one snippet: 'virulence factors'
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation:bacterial_adhesins->host_cell_attachment[0]	MISSING_SNIPPET	WARN	reference=DOI:10.1093/femsre/fuae019 has no snippet
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation:complement_evasion->immune_evasion[0]	MISSING_SNIPPET	WARN	reference=DOI:10.1093/femsre/fuae019 has no snippet
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation:complement_regulator_binding_proteins->complement_evasion[0]	MISSING_SNIPPET	WARN	reference=DOI:10.1093/femsre/fuae019 has no snippet
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation:effector_translocation_t4ss->animal_tissue_colonization[0]	MISSING_SNIPPET	WARN	reference=DOI:10.1038/s41579-023-00974-3 has no snippet
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation:host_cell_attachment->animal_tissue_colonization[0]	MISSING_SNIPPET	WARN	reference=DOI:10.1093/femsre/fuae019 has no snippet
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation:low_iron_environment->siderophore_biosynthesis[0]	MISSING_SNIPPET	WARN	reference=DOI:10.1039/d4cb00175c has no snippet
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation:siderophore_iron_import->animal_tissue_colonization[0]	MISSING_SNIPPET	WARN	reference=DOI:10.1039/d4cb00175c has no snippet
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation:t3ss_effector_delivery->immune_evasion[0]	MISSING_SNIPPET	WARN	reference=DOI:10.1128/spectrum.02224-23 has no snippet
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation:tonb_dependent_transporters->siderophore_iron_import[0]	MISSING_SNIPPET	WARN	reference=DOI:10.1039/d4cb00175c has no snippet
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation:type_iii_secretion_system->t3ss_effector_delivery[0]	MISSING_SNIPPET	WARN	reference=DOI:10.1128/spectrum.02224-23 has no snippet
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation:type_iv_secretion_system->effector_translocation_t4ss[0]	MISSING_SNIPPET	WARN	reference=DOI:10.1038/s41579-023-00974-3 has no snippet
data/traits/ecology/biofilm_formation.yaml	biofilm_eps_matrix_community:biofilm_formation_process->biofilm_formation_trait[0]	MISSING_SNIPPET	WARN	reference=DOI:10.1038/s41579-019-0162-0 has no snippet
data/traits/ecology/biofilm_formation.yaml	biofilm_eps_matrix_community:c_di_gmp->sessile_state[0]	MISSING_SNIPPET	WARN	reference=DOI:10.3390/w17131944 has no snippet
