file	graph_id	defect	severity	detail
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation	UNREACHABLE_FROM_TRAIT	WARN	node_id='low_iron_environment' label='low-iron host environment' type=ENVIRONMENTAL_FACTOR — in an island with no path to animal_pathogen_trait
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation	UNREACHABLE_FROM_TRAIT	WARN	node_id='siderophore_biosynthesis' label='siderophore biosynthesis gene expression' type=BIOLOGICAL_PROCESS — in an island with no path to animal_pathogen_trait
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation	INCONSISTENT_NODE_TYPE	WARN	node_id='immune_evasion' type=BIOLOGICAL_PROCESS here — also QUALITY×1 elsewhere in the corpus
data/traits/ecology/animal_pathogen.yaml	animal_pathogen_metazoan_adaptation	FRAGMENTED_GRAPH	WARN	components=2 of 17 node(s) (sizes: 15, 2) — one record, several unrelated mechanisms
data/traits/ecology/biofilm_formation.yaml	biofilm_eps_matrix_community	UNREACHABLE_FROM_TRAIT	WARN	node_id='planktonic_cell' label='planktonic cell' type=STATE — in an island with no path to biofilm_formation_trait
data/traits/ecology/biofilm_formation.yaml	biofilm_eps_matrix_community	UNREACHABLE_FROM_TRAIT	WARN	node_id='amenable_surface' label='amenable surface' type=ENVIRONMENTAL_FACTOR — in an island with no path to biofilm_formation_trait
data/traits/ecology/biofilm_formation.yaml	biofilm_eps_matrix_community	UNREACHABLE_FROM_TRAIT	WARN	node_id='nitric_oxide' label='nitric oxide' type=CHEMICAL — in an island with no path to biofilm_formation_trait
data/traits/ecology/biofilm_formation.yaml	biofilm_eps_matrix_community	UNREACHABLE_FROM_TRAIT	WARN	node_id='biofilm_dispersal' label='biofilm dispersal' type=BIOLOGICAL_PROCESS — in an island with no path to biofilm_formation_trait
data/traits/ecology/biofilm_formation.yaml	biofilm_eps_matrix_community	INCONSISTENT_NODE_TYPE	WARN	node_id='eps_matrix' type=CHEMICAL here — also CELLULAR_LOCALIZATION×1 elsewhere in the corpus
data/traits/ecology/biofilm_formation.yaml	biofilm_eps_matrix_community	FRAGMENTED_GRAPH	WARN	components=3 of 13 node(s) (sizes: 9, 2, 2) — one record, several unrelated mechanisms
